RA;Código_Turma;Nome_Disciplina
11201810101;DA1BCL0307-15SA;Transformações Químicas A1-Matutino (Santo André)
11202231486;DA2BIR0004-15SB;Bases Epistemológicas da Ciência Moderna A2-Matutino (São Bernardo)
11202231486;NA4BCJ0204-15SB;Fenômenos Mecânicos
11202231486;DA1BCN0407-15SB;Funções de Várias Variáveis A1-Matutino (São Bernardo)
11202231486;NA2BCN0404-15SB;Geometria Analítica
11202231486;DA1BCN0405-15SB;Introdução às Equações Diferenciais Ordinárias A1-Matutino (São Bernardo)
11202231486;DA3BCL0307-15SB;Transformações Químicas A3-Matutino (São Bernardo)
11201811049;NA2MCTA037-17SA;Banco de Dados
11201811049;NAMCTA014-15SA;Inteligência Artificial
11201811049;NAMCTA027-17SA;Teoria dos Grafos
21032816;NB1ESTA002-17SA;Circuitos Elétricos I
21032816;NA1BCJ0203-15SA;Fenômenos Eletromagnéticos
21032816;DB3BCN0402-15SA;Funções de Uma Variável B3-Matutino (Santo André)
21032816;DA1BCN0407-15SA;Funções de Várias Variáveis A1-Matutino (Santo André)
11012316;NANHZ1074-15SA;Astrobiologia
11012316;DA1ESTB010-17SB;Legislação Relacionada à Saúde A1-Matutino (São Bernardo)
11201920333;NA1ESZS019-17SB;Aerodinâmica II
11201920333;DA1ESZS016-17SB;Análise Experimental de Estruturas A1-Matutino (São Bernardo)
11201920333;DAESZS029-17SB;Dinâmica Orbital A-Matutino (São Bernardo)
11201920333;DA1ESTA008-17SB;Sistemas de Controle II A1-Matutino (São Bernardo)
11201920706;DA1ESTU026-17SA;Caracterização de Matrizes Ambientais A1-Matutino (Santo André)
11201920706;DA1ESTU007-17SA;Habitação e Assentamentos Humanos A1-Matutino (Santo André)
11201920706;DA1ESTU011-17SA;Planejamento Urbano e Metropolitano A1-Matutino (Santo André)
11201920706;DA1ESTU032-17SA;Representação Gráfica de Projetos Ambientais e Urbanos A1-Matutino (Santo André)
11201920385;NANHZ1074-15SA;Astrobiologia
11201920385;NA1ESTU025-17SA;Avaliação de Impactos Ambientais
11201920385;NA1NHZ4074-15SA;Recursos Didáticos para o Ensino de Química
11201920385;NAESTA014-17SA;Sistemas CAD/CAM
11202231685;DB2BIR0004-15SB;Bases Epistemológicas da Ciência Moderna B2-Matutino (São Bernardo)
11202231685;DB1BHO0102-15SB;Desenvolvimento e Sustentabilidade B1-Matutino (São Bernardo)
11202231685;DABHQ0004-19SB;Estudos de Gênero A-Matutino (São Bernardo)
11202231685;DA1BCN0402-15SB;Funções de Uma Variável A1-Matutino (São Bernardo)
11202231685;DA1ESHR026-14SB;História do Terceiro Mundo A1-Matutino (São Bernardo)
11202111766;DA1ESHT010-17SB;Métodos de Planejamento A1-Matutino (São Bernardo)
11202111766;DA1ESHT019-17SB;Planejamento e Política Rural A1-Matutino (São Bernardo)
