RA;Código_Turma;Nome_Disciplina
11012516;NA2ESTE019-17SA;Instalações Elétricas I A2-Noturno (Santo André)
11012516;DA1ESTA017-17SA;Laboratório de Máquinas Elétricas A1-Matutino (Santo André)
11012516;NA1ESTA016-17SA;Máquinas Elétricas A1-Noturno (Santo André)
11012516;NB1ESTE035-17SA;Engenharia Eólica B1-Noturno (Santo André)
11012616;NA1ESZS021-17SB;Sistemas de Propulsão II A1-Noturno (São Bernardo)
11012616;NA1MCZB031-17SB;Teoria dos Jogos A1-Noturno (São Bernardo)
11012616;NIESZS035-17SB;Dinâmica de Fluidos Computacional I-Noturno (São Bernardo)
11013011;NA1ESTO016-17SA;Fenômenos de Transporte A1-Noturno (Santo André)
11013011;DA1ESTE021-17SA;Termodinâmica Aplicada II A1-Matutino (Santo André)
11013014;DA1ESTU023-17SA;Biomas Brasileiros A1-Matutino (Santo André)
11013014;DA1NHT1048-15SA;Sistemática e Biogeografia A1-Matutino (Santo André)
11013016;NA1MCTA037-17SA;Banco de Dados A1-Noturno (Santo André)
11013016;DA1ESZI045-17SA;Introdução à Linguística Computacional A1-Matutino (Santo André)
11013016;DA1ESZI035-17SA;Introdução ao Processamento de Sinais de Voz e Áudio A1-Matutino (Santo André)
11013116;DA1BCK0103-15SA;Física Quântica A1-Matutino (Santo André)
11013316;NB1ESTM003-17SA;Tópicos Computacionais em Materiais B1-Noturno (Santo André)
11013316;DA1ESZI043-17SA;Programação Baseada em Componentes para Jogos A1-Matutino (Santo André)
11013316;DA1ESZI014-17SA;Sistemas Inteligentes A1-Matutino (Santo André)
11013316;NA1ESZI017-17SA;Fundamentos de Processamento Gráfico A1-Noturno (Santo André)
11013415;NB2BIR0004-15SB;Bases Epistemológicas da Ciência Moderna B2-Noturno (São Bernardo)
11013415;DB3BIJ0207-15SA;Bases Conceituais da Energia B3-Matutino (Santo André)
11013416;NA1NHZ1009-15SA;Biologia Molecular e Biotecnologia A1-Noturno (Santo André)
11013416;DA1NHT1084-16SA;Práticas de Ensino de Biologia II A1-Matutino (Santo André)
11013416;NA1ESZU016-17SA;Questões Ambientais Globais A1-Noturno (Santo André)
11013416;DA1NHZ6010-18SA;Genômica e Pós-Genômica A1-Matutino (Santo André)
11013416;DA1NHZ1027-15SA;Farmacologia A1-Matutino (Santo André)
